,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,opp_eFG%,opp_TOV%,opp_DRB%,opp_FT/FGA
28,Los Angeles Lakers_15,26.5,17.0,65.0,17,65,-9.56,0.64,-8.92,101.6,111.6,-10.0,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.202
29,Philadelphia ers_15,23.3,10.0,72.0,16,66,-10.23,0.31,-9.92,98.8,109.2,-10.4,97.9,0.269,0.327,0.519,0.487,14.8,20.6,0.186,0.51,13.5,74.0,0.24
0,Golden State Warriors_14,26.6,67.0,15.0,65,17,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217
1,Los Angeles Clippers_14,28.8,56.0,26.0,58,24,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231
2,San Antonio Spurs_14,29.8,55.0,27.0,58,24,6.2,0.14,6.34,108.5,102.0,6.5,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19
3,Atlanta Hawks_14,27.8,60.0,22.0,56,26,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185
4,Cleveland Cavaliers_14,26.9,53.0,29.0,53,29,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177
5,Portland Trail Blazers_14,27.0,51.0,31.0,53,29,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182
6,Houston Rockets_14,27.6,56.0,26.0,50,32,3.44,0.38,3.82,107.0,103.4,3.6,96.5,0.312,0.392,0.548,0.512,15.0,26.8,0.223,0.486,14.6,72.9,0.208
7,Memphis Grizzlies_14,29.6,55.0,27.0,50,32,3.24,0.38,3.62,105.7,102.2,3.5,92.0,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183
8,Toronto Raptors_14,26.1,49.0,33.0,49,33,3.07,-0.62,2.45,111.0,107.7,3.3,92.8,0.295,0.302,0.553,0.508,12.0,25.6,0.232,0.506,13.4,73.3,0.208
9,Chicago Bulls_14,28.8,50.0,32.0,50,32,3.0,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,0.489,12.9,27.0,0.238,0.473,11.3,74.4,0.182
10,Dallas Mavericks_14,29.9,50.0,32.0,49,33,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204
11,Oklahoma City Thunder_14,25.4,45.0,37.0,47,35,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213
12,New Orleans Pelicans_14,25.3,45.0,37.0,43,39,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195
13,Washington Wizards_14,28.6,46.0,36.0,43,39,0.72,-0.55,0.17,103.7,103.0,0.7,93.7,0.259,0.203,0.534,0.499,14.0,24.9,0.192,0.481,12.9,77.3,0.21
14,Milwaukee Bucks_14,24.6,41.0,41.0,42,40,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221
